Chunk,Lines,Section,Key Contents,Functions/Classes
1,1-525,Imports & Config,"Flask setup, logging, timezone, caches","opening_lines_store, injury_cache, form_cache, SpreadValidator class"
1,1-525,SpreadValidator,"Cross-references spread sign vs moneyline, auto-corrects mismatches","validate_and_correct_spread()"
1,1-525,Team Normalization,"Bovada-style short names, alias expansion","normalize_team_name(), expand_team_aliases()"
2,501-1050,Team Matching,"Unified fuzzy matching for all team comparisons","teams_match()"
2,501-1050,Database Models,"Game and Pick SQLAlchemy models with all fields","Game, Pick classes"
2,501-1050,Core Formulas,"Expected scores, projection, qualification thresholds","calculate_expected_scores(), calculate_projection(), check_qualification(), check_spread_qualification()"
2,501-1050,EV Calculation,"Pinnacle true probability vs Bovada payout","calculate_ev()"
3,1026-1575,ESPN Team ID Lookup,"Team ID resolution with league-specific aliases","get_espn_team_id()"
3,1026-1575,Historical Data,"Fetches last N games from ESPN event log","fetch_team_last_games()"
3,1026-1575,O/U Hit Rate,"Calculates historical over/under percentage","calculate_ou_hit_rate()"
3,1026-1575,H2H History,"Head-to-head game fetching and O/U analysis","fetch_h2h_history()"
4,1551-2100,Model 4 History,"First half win rate for NBA away favorites","fetch_first_half_history(), fetch_first_half_h2h()"
4,1551-2100,Game Qualification,"Master function applying all qualification filters","update_game_historical_data()"
4,1551-2100,Sharp Money Detection,"Opening line tracking, line movement analysis","detect_sharp_movement()"
4,1551-2100,Recent Form,"Last 5 games vs season average blend","fetch_recent_form()"
4,1551-2100,Injury Integration,"ESPN injury reports, key injuries flag","fetch_injury_report()"
5,2026-2575,Result Checking,"Auto-checks finished games 2.5-3.5 hours after start","check_finished_games_results()"
5,2026-2575,Dashboard Route,"Main page with TOP 5 weighted scoring algorithm","dashboard()"
5,2026-2575,TOP 5 Algorithm,"Weighted Score = Edge + (History% × 0.15) + Model Bonus","weighted_score calculation"
5,2026-2575,Model 4 Integration,"NBA 1H ML picks displayed with orange styling","nba_1h_picks list"
5,2026-2575,Analytics,"Average edge, best edge, direction split, win streaks","analytics dict"
6,2551-3100,Live Scores,"Real-time scores from ESPN/NHL APIs","api/live_scores endpoint"
6,2551-3100,Game CRUD,"Add, update line, delete game functions","add_game(), update_line(), delete_game()"
6,2551-3100,Stats Fetching,"NBA API and NHL API team statistics","get_nba_stats(), get_nhl_stats()"
6,2551-3100,Parallel Scoreboard,"ThreadPoolExecutor for multi-league fetch","fetch_scoreboard_parallel()"
6,2551-3100,Fetch Games Endpoint,"Master endpoint: games + odds + history","fetch_games()"
7,3076-3625,Odds Fetching,"Parallel odds from The Odds API (Bovada + Pinnacle)","fetch_odds_internal(), fetch_odds_for_league()"
7,3076-3625,Totals Processing,"Main line + EV calculation + qualification","totals market processing"
7,3076-3625,Spreads Processing,"Spread validation, sign correction, EV calc","spreads market processing with SpreadValidator"
7,3076-3625,Alt Lines,"Best alternate line finder (-180 floor)","find_best_alt_line(), fetch_alt_lines_internal()"
7,3076-3625,History Fetch,"Updates historical data for qualified games","fetch_history_internal()"
8,3601-4068,Model 4 1H ML,"Away favorite 1H money line fetching","fetch_nba_1h_ml_internal()"
8,3601-4068,Discord Posting,"Lock of the Day + TOP 3 picks to webhook","post_discord()"
8,3601-4068,Window Posting,"EARLY/MID/LATE locks for big slate days","post_discord_window()"
8,3601-4068,Schedule Windows,"Returns posting schedule based on game distribution","get_schedule_windows()"
8,3601-4068,History Page,"Upcoming queue + past picks with results","history()"
8,3601-4068,Bankroll Page,"52-week bankroll builder tracker","bankroll()"
8,3601-4068,Result Updates,"Manual and auto result updating","update_result(), check_results()"
8,3601-4068,Safe Delete,"FK-safe game deletion helper","safe_delete_games()"
8,3601-4068,App Startup,"Database init and server start","db.create_all(), app.run()"
